Track Number,Track,Artist,URI
307,Bilite Yektarafe,Sogand,spotify:track:7I0ota0pQM0MeCm1zJtjA1
308,Modele Man,Sogand,spotify:track:16aSVoYVSR52MgVqtJmtUx
309,Migzare,Sogand,spotify:track:1RURbkNY9dVRq7vCoqmYc4
310,The Lom,Sogand,spotify:track:2AXrdZMjdFUlrEUTG0lcjx
311,Bezan Baran,Ehaam,spotify:track:5ekeVMVXKTbwoi747PET58
312,Cheshmanat Arezoost,Ehaam,spotify:track:6zSxXyQjAdn7jV7aKUFtcb
313,Taab o Tab,Ehaam,spotify:track:3vAaINTGZXrzkLVCyDhSwL
314,Gharibe Ashena,Ehaam,spotify:track:6hjNBbQ8coHKh5CyGLaECu
315,Ziba Jan,Ehaam,spotify:track:6q8gBswn9YoE5MiEdQobol
316,Soltane Ghalbe Man,Ehaam,spotify:track:5PleshAkRT1WFbuqS2JNHC
317,Jana,Ehaam,spotify:track:67i0sOTPZAjmdFvO6e3IIA
318,Eshgh,Ehaam,spotify:track:7CPIKQ7tp2VQlpBH3X3pqe
319,Khaterehamoon,Ehaam,spotify:track:22WZvg5WUVc4Znzr56ErZ5
320,Vay Az In Halam,Ehaam,spotify:track:6KeB9JP8DK10esuNU8Rj7p
321,Hallelujah,Erfan,spotify:track:5bnyjjXQo6zQm4kyW6qhWR
322,"Khatteh Man (Remix) [feat. Mehrad Hidden, Reveal, Afra & Khashayar]",Erfan,spotify:track:0GdjOnWtcgTexHoXkYrdCX
323,Age Ye Rooz - Remix,Erfan,spotify:track:6VTbhdmrooMC66hRwRWH3Y
324,Khanevadegi 2,Erfan,spotify:track:2z9qVddrm5DtbD6jou7RIa
325,Hide & Seek,Erfan,spotify:track:6hhH0qU9KPqrTzm6BFXTbN
326,Shabaye Tehran,Erfan,spotify:track:70LWEXM8fugMgznTTpePT9
327,Yadete (feat. Sogand),Erfan,spotify:track:3CJ0Y31cHSbtWM731brb0L
328,Paydari,Erfan,spotify:track:6my26jxfJfOpe9bXquIFF0
329,Ey Del,Erfan,spotify:track:6xqDJwKqO1Thsfti5VZViW
330,Mano Natarsoon,Erfan,spotify:track:5dBtfVYJKY5BM8X0pqiPVj
331,Cheshme Man,Dariush,spotify:track:567pa89CGdOa0QLVTPvv4i
332,Age Ye Rooz,Dariush,spotify:track:6GOIFaiqpDTzXhsrlUcUtQ
333,Ey Eshgh,Dariush,spotify:track:6yWBRHb4uwQp7kZLn07pc5
334,Shekanjegar,Dariush,spotify:track:0UHyML1kmbFeBArHgeuNRB
335,Shame Mahtab,Dariush,spotify:track:6CARcEoieZDAFHDqHbqa36
336,Donyaye In Roozaye Man,Dariush,spotify:track:1aHIGIGBnxPygRBRmTJb5z
337,Dastaye Tou,Dariush,spotify:track:3AP69DS4kZJNaEoyys3kpG
338,Sarabe Radde Paye To,Dariush,spotify:track:6tFMbwM8sOcReyqIp05Ok3
339,Ay Eshgh,Dariush,spotify:track:2tx454bmY3Se0fh8CJdeVm
340,Be Man Fekr Kon,Dariush,spotify:track:247D7jwyIiq0lFBaajZG8y
341,Pas Man Chi,Wantons,spotify:track:2q6SQo1NWPkkU7UAhyKJjZ
342,Haminim Ke Hastim,Wantons,spotify:track:7Ix4gTgZ959S1boFqlMCXe
343,Boome Naghashi,Wantons,spotify:track:2ahuiKjqhHMuXyJC9NTwgX
344,Hanoozam,Wantons,spotify:track:5s0qvMrurOgHLNjqdvinfa
345,Doe Sob,Wantons,spotify:track:05z8cTYlfiCmOrgee6v9gx
346,Fada Saret,Wantons,spotify:track:3kpabquXgngB1KnvDFI2VP
347,Begoo Yadete,Wantons,spotify:track:3KfxLOidvPNpnWQQadIrao
348,Cheshmak,Wantons,spotify:track:2nc23H5M6Do7qcaIUwXNMo
349,Bachegia,Wantons,spotify:track:4J7lXcqQhp35RQmciWqMTu
350,Bayad Raft (feat. Behzad Leito),Wantons,spotify:track:22EVXaVw1eO02fInnvDVpV
351,Behet Ghol Midam - Live,Mohsen Yeganeh,spotify:track:3YcPKmntW2DwQoRPYEkaO0
352,Behet Ghol Midam,Mohsen Yeganeh,spotify:track:4l9ytEMvyXBkYCNOa96jM1
353,Sokoot,Mohsen Yeganeh,spotify:track:0no8jE2FLI9tR3GYGeBHEP
354,Nadaramet,Mohsen Yeganeh,spotify:track:0qCIxbq3KP3fskqsfGdJBF
355,Khodkhah,Mohsen Yeganeh,spotify:track:7nrKT6n3Uh90IdlzoVdZNY
356,Dooset Daram,Mohsen Yeganeh,spotify:track:4UoHWosTlZ2QqAibNEMG0P
357,Khiale To,Mohsen Yeganeh,spotify:track:0LcFyvkpv5mrVWyQlNaPHO
358,Darkam Kon,Mohsen Yeganeh,spotify:track:2KYN9V5ImmLJVimKUk7S15
359,Nashkan Delamo,Mohsen Yeganeh,spotify:track:68pYmVJW6s7i9fIiYLnL4X
360,Bade To,Mohsen Yeganeh,spotify:track:2N4wNZy5S7iaHdBsciPhOr
361,Euphoria,Isam,spotify:track:5QQOHwX8Kct3iSdXHyitjM
362,Toofani,Isam,spotify:track:3srJxNvkqTSe82qBPmUGeY
363,ENGAR,Isam,spotify:track:1bs5a6DBoHNoPtpy7Xzj1R
364,FARDA,Isam,spotify:track:6M8hQ6SkN6vwToDrGwiK6Q
365,ENGAR - NOIZEY Remix,Isam,spotify:track:2zMnjN52KY7t1pNs6IQJYA
366,SARGIJE,Isam,spotify:track:7I4bFzbXLsiZSCttRHj2nD
367,MOWJ,Isam,spotify:track:4JLDtQ7VerMLk0DxugadJk
368,ZAKHM,Isam,spotify:track:0AulCkUIW4bDBbVPZaTpXB
369,Obsessed freestyle,Isam,spotify:track:5TCs85N6BguAFD1rwC5r9e
370,NEVERLAND,Isam,spotify:track:5BLScNb3k3EeVbJbzj40y8
371,Zendegi Ba Tou,Moein,spotify:track:7dmU0EooTrtM7JYpbjJlND
372,Halghe Tala (Moein),Moein,spotify:track:02ROFSb24qOGyNik6Bket2
373,Majnoon,Moein,spotify:track:45j3QUgHlNc8lR6jqtWBcX
374,Gozashteh,Moein,spotify:track:3OdvD0dV0lcrwhrJWUUJU1
375,Kolle Donyami,Moein,spotify:track:4fQDBIQ6jvUstHlqfoFW3m
376,Parandeh,Moein,spotify:track:70OniTq7BiezojJK8VjfIb
377,Hamdam,Moein,spotify:track:5FXjRiI73HRG4S7LqL0qU4
378,Lahzeha,Moein,spotify:track:0ESqZryAWPQmMQvo3fzfQ6
379,Bigharar,Moein,spotify:track:0srVJ5LenTAwHKFuiw7pTo
380,Divane Miraghsad,Moein,spotify:track:6U3ps6j0SjJfDlGgc76F4K
381,Gentleman,Sasy,spotify:track:5LOVw41B6bJ8Wkq8Xy7kTv
382,Tehran Tokyo,Sasy,spotify:track:09N8zFVLg53xOiqzBXMTU6
383,Doctor,Sasy,spotify:track:7gbMNdOcnfuFivzQmC1gu3
384,Maman Mano Bebakhsh,Sasy,spotify:track:3vpxxfRW7sSWJHluDFQbCT
385,Saaghiya,Sasy,spotify:track:69yP7jY5UtTJpm6LwQVqiX
386,Ostad,Sasy,spotify:track:49wDC9kcsKh2ePLSX41IJ0
387,Salam,Sasy,spotify:track:4ZJZKLyhewsNt89M6RkXTv
388,Ye Jure Digast,Sasy,spotify:track:7d7Aqr5lI4ySUHAQnbBLF7
389,Behtarin Kado,Sasy,spotify:track:5U6AgEueVffxGrvMrtcl1F
390,Hame Bada,Sasy,spotify:track:0qQCR8kW2BubB59cy5Mcxe
391,Zolf,Mohsen Namjoo,spotify:track:1J0sf3W8vrGhIoVvI9oOh0
392,Nobahari,Mohsen Namjoo,spotify:track:46DepxozCdj7BZmxiZtTpu
393,Toranj,Mohsen Namjoo,spotify:track:0S8tYVLgAdgjwA0UXibLBg
394,Ey Sareban,Mohsen Namjoo,spotify:track:34GMpITRVZw5Gy4iVA2yFp
395,Man Mast,Mohsen Namjoo,spotify:track:3gWs0iD6j1zzMggBzRaNcc
396,Chah Chah,Mohsen Namjoo,spotify:track:55s6TyDUUYi5rh93amJe0G
397,Sadde Ya’jooj,Mohsen Namjoo,spotify:track:6xsHggsym6GTFbkIARyeAs
398,Lobatakan,Mohsen Namjoo,spotify:track:2Oiu0Z8bzRN3ViJ1kVFzNU
399,Yaare Jaani,Mohsen Namjoo,spotify:track:4SaPZb6HQpiXQ6rZXi5nSY
400,Marmara,Mohsen Namjoo,spotify:track:4UhEl55O6yB9ZZrajbNA6p
401,Saaghi,The Don,spotify:track:1nQIQgTjYy8YmLycamwrUf
402,Mikham Bargardam,The Don,spotify:track:1J5SizihbWHPUbqhK4QGQo
403,Faal,The Don,spotify:track:0DIhc9SE1CuGktQeCBk1Wg
404,Beraghs Ba Man,The Don,spotify:track:2tDMSUJcIPzpgQLFLqMdtu
405,Door Tarin Eshgh,The Don,spotify:track:6A8c7D5nKUgNEczHWhYWkj
406,Farda Ke Chi,The Don,spotify:track:0oda6BLmeQn0tsf5gRqt1f
407,Gahgaahi,The Don,spotify:track:2jYBkTzGGfX34S4THpQRPA
408,Emshabo Naro,The Don,spotify:track:4Gv8nwHxH0VTi3R0bGWqRL
409,Az Zehnam Boro Biroon,The Don,spotify:track:2rVgMIg9FUAzl824WSGeNs
410,On My Skin,The Don,spotify:track:5Rsuf6SAGqa88w40lvaVSW
411,Mojasame,Naser Zeynali,spotify:track:3t9lHieE4CzqBaF23JHg3H
412,Bego Chand?,Naser Zeynali,spotify:track:3yMBYsuKmjgzCODN5cyBp6
413,Delbare Nab,Naser Zeynali,spotify:track:3mkxy6Z3ArsXxAc1zhxUo5
414,Ye Khabari Shode!,Naser Zeynali,spotify:track:5EpSJKdX9ASON3TdLtsCLU
415,Bego Chand,Naser Zeynali,spotify:track:7lmCzWlLJBdJZOCojjZra6
416,Nafas,Naser Zeynali,spotify:track:3s9BIWr7CSIlGcIFfbHFBQ
417,Ba Toam,Naser Zeynali,spotify:track:09xrg1OwqcLIpDtW9R1OBJ
418,Khodeto Beresoon,Naser Zeynali,spotify:track:0CTxlaMOiaFN5dfD0JuYzi
419,Delbare Nab - Slow Version,Naser Zeynali,spotify:track:65cXrHSTpn1g66hrFJTIRl
420,Jangale Moohat,Naser Zeynali,spotify:track:6XddZqC32Yxe2wmpKgjEP2
421,Divoonegi,Sirvan Khosravi,spotify:track:6HvSUh6HF4fHgLXF2xMHE6
422,Tanha Nazar,Sirvan Khosravi,spotify:track:0q5q5fgZIbkcJHgJKEqXzi
423,Ghabe Akse Khali,Sirvan Khosravi,spotify:track:1koJb6WebShjpVPtx7XoqN
424,Dorost Nemisham,Sirvan Khosravi,spotify:track:0Kara2MMQvv32k9fD4lQmW
425,Bonbast,Sirvan Khosravi,spotify:track:2qznH0xL40dxXCiAwC70pJ
426,Kheili Rooza Gozasht,Sirvan Khosravi,spotify:track:04js3pBP9ytpLsT2bXtLbk
427,Soojehat Tekrarie,Sirvan Khosravi,spotify:track:1P1O16DQ3jZ2hLKFU8NhKT
428,Be Hamin Zoodi (Live in Rasht 2022),Sirvan Khosravi,spotify:track:05xkXVG0zOqrhqIZkKbndu
429,Bargard,Sirvan Khosravi,spotify:track:1HpaKY7ReQtgK0JZmhTgVc
430,Harf Bezan - Remix,Sirvan Khosravi,spotify:track:1AVXlRneLp7r3ZxnUiMcYr
431,Brand New Key,Melanie,spotify:track:7da5B9d2oVV16YSzXVxmrR
432,Ruby Tuesday,Melanie,spotify:track:6vr1sLoeL987BxGJW7XYaZ
433,Beautiful People,Melanie,spotify:track:4rMCvdNWp9IvvDJYyUfxyl
434,Lay Down (Candles In The Rain) - Long Version,Melanie,spotify:track:66LevxamA5uN8xW2IzZYLg
435,Dust in the Wind,Melanie,spotify:track:5P3MdoNzb3eIJ8x8dsASZV
436,"Look What They've Done To My Song, Ma",Melanie,spotify:track:00ED5BKOZWqV022xGQUGvi
437,Johnny Boy,Melanie,spotify:track:551F5kwyXw2ANo3vcyEIwt
438,Ring the Living Bell,Melanie,spotify:track:7zzme6UyNlgkBY4D8TZMHN
439,I Will Survive,Melanie,spotify:track:2fmHbQhXgiiHPEY6jT2U0B
440,Mr. Tambourine Man - Live at Woodstock,Melanie,spotify:track:2jNn5LOOEUswQHJNnO3LkH
441,Shokret,Tohi,spotify:track:2MHNdG3jS1MLF9zbMoOMbc
442,Poquito,Tohi,spotify:track:58X7U6eD6RCNLIAnxJqBHl
443,Baby Oonam Dooste Mane,Tohi,spotify:track:0HLQRljaGjU5oZVyt0EiCA
444,Anxiety,Tohi,spotify:track:6gD4JedniqXtJXrudjEe2c
445,Ba Man Miraghsi (feat. Sami Beigi),Tohi,spotify:track:4GRCEbNhhgpHZOBMIyvFeJ
446,Chetori Gol,Tohi,spotify:track:64AXokF38wZDQz5FlpNbI9
447,Asheghet Manam,Tohi,spotify:track:1HwpS1TTfmZjfkXJBYjeAX
448,Nazanin,Tohi,spotify:track:76cndubwAE1yFNxyY8EGwO
449,Persian,Tohi,spotify:track:6u0EGQfDNyF6hNi6JpEShT
450,Hale,Tohi,spotify:track:33vN48hKPbKhxcgKK2outP
451,Ni Jana,TM Bax,spotify:track:4YxsJyL48q7NZiiCj0uib0
452,YE YE,TM Bax,spotify:track:6CVSoFxNZtg0RpRNTAYopU
453,Masalei Ni,TM Bax,spotify:track:3E3gEvN9B70xxAaDI1D84P
454,GANJA GUN,TM Bax,spotify:track:2NQBRYw9lQ4b2fTqd9nFwb
455,Kiki,TM Bax,spotify:track:0KTIbEg5la3u22Hs30cGNJ
456,Joz To,TM Bax,spotify:track:3l9asjQqYQw2m5CyByQNIt
457,Motadetam,TM Bax,spotify:track:07SBmgS3Jpq387aXmHQFGC
458,Lazemami,TM Bax,spotify:track:3vWj26lRbj7w4WDSRy8SCU
459,Oxygen,TM Bax,spotify:track:0Bx82T6zZ5OLkq2K6y1NTu
460,Cha Cha,TM Bax,spotify:track:1v9pGDvbQb5G8CDqYEpMRG
461,Khosh Be Halam,Hamid Hiraad,spotify:track:1iwIqAU0RoShpoFurumftx
462,Delaaram,Hamid Hiraad,spotify:track:1P9RBTCwbNskcJaodkdIwr
463,Jazzab,Hamid Hiraad,spotify:track:3Ja24gkmL086UlyIgwufPH
464,Mashoogh,Hamid Hiraad,spotify:track:215vRdWwJQfcMMZNYXuSwy
465,Mastam Kon,Hamid Hiraad,spotify:track:2EmAyt4j8YJKpus90DBzuu
466,Nimeye Janam,Hamid Hiraad,spotify:track:5oLf4JQbZNn3PN5EMl4zRC
467,Bitab,Hamid Hiraad,spotify:track:3o9LfORe1WEIG25J5SBhfV
468,Goftam Beman,Hamid Hiraad,spotify:track:6Swk1Ttrp5Qx5tZyUEC2TJ
469,Khoda Nakonad,Hamid Hiraad,spotify:track:5Cia9CElS6bsOqTargIowE
470,Shookhie Mage,Hamid Hiraad,spotify:track:20sNRdmehgEKbbBQ4Qf39v
471,Hameye Oun Rooza,Reza Sadeghi,spotify:track:2QZnRJS9zLxNLvlSvbDpTs
472,Bemoni Baram,Reza Sadeghi,spotify:track:5jp4UPTVTYs0SiS95I3rIu
473,Saret Salamat(Be Healthy),Reza Sadeghi,spotify:track:6iX8XnMGHT9cNPPa7RQAjM
474,Mano Yadet,Reza Sadeghi,spotify:track:0jqGCut9d8PQLcd0k2xpMi
475,Vaysa Donya,Reza Sadeghi,spotify:track:0fokNZ555D3u2FyINKTMRr
476,Shahr Ashoob,Reza Sadeghi,spotify:track:2yPGxbUrFGj0p4B1eSsDmE
477,Hame Chi Khoobe,Reza Sadeghi,spotify:track:3NeNP6sZa75uYQwgPQzcxu
478,Farze Mahal,Reza Sadeghi,spotify:track:3vgrGBcVX1ERZjVWcLMNtQ
479,To Ke Hassasi,Reza Sadeghi,spotify:track:0wYWVoCKnQVP9KOXhVREdc
480,Ye Chizi Mishe Dige,Reza Sadeghi,spotify:track:0KWHh9wtn3C3pWzReVl4Cu
481,Mashallah,Chvrsi,spotify:track:0gdlI8jdnkNp0DN16FOeFj
482,Nike Boy,Chvrsi,spotify:track:3v9bn8Nzz5ZrRKq4YxCyZU
483,Illegal - Remix,Chvrsi,spotify:track:17KVs45ztUsQSSOdw8QF19
484,Boof,Chvrsi,spotify:track:4w4dLCO6zTM9Q8Quziltpm
485,Takipaki,Chvrsi,spotify:track:3OKLhKPs7C2P0YqMGcRfrQ
486,Hate.,Chvrsi,spotify:track:1sZZ8wWyqBcC1T8ht4r6FR
487,Flame,Chvrsi,spotify:track:581OypYElK8mF3Kb1UyJy9
488,Illegal,Chvrsi,spotify:track:5mMY3NFCoMH0kOyWIRMEsd
489,Poodr,Chvrsi,spotify:track:1aM1QrQ0iB5zsll8PscaHD
490,Kesafat,Chvrsi,spotify:track:0lXYZYaYUjBkfs0LC0X6Kl
491,Khosh Be Halam,Ragheb,spotify:track:1iwIqAU0RoShpoFurumftx
492,Jazzab,Ragheb,spotify:track:3Ja24gkmL086UlyIgwufPH
493,Shalat,Ragheb,spotify:track:1nFo9iGLUEiwyMeyuCRP7T
494,Havaye Eshgh,Ragheb,spotify:track:4US22qezmf410cfmoPYUD1
495,Divanegi,Ragheb,spotify:track:3SpaRqaWOicq5999UnRYbh
496,To Ra Ke Didam,Ragheb,spotify:track:1lulM567h314KYQcbxYBom
497,Sedaye Baroon,Ragheb,spotify:track:0EhwbCN20PLPPZqp9nbQ9j
498,Sokoote Asheghaneh,Ragheb,spotify:track:3HfoiQ1VVvC9gtMfRAvr6W
499,Bichare Farhad,Ragheb,spotify:track:71yTPg2WsZuAyEerjjxjYh
500,Beman,Ragheb,spotify:track:1HOQB2ivJ1ODwkEDMlMqnb
